pickup_zone,n_trips,avg_distance,median_fare,avg_tip_ratio
Briarwood/Jamaica Hills,7669,37.5285617420785,27.13,0.02060706183529972
University Heights/Morris Heights,7328,45.8065038209607,24.5,0.001089909329214332
Rego Park,7161,10.790226225387515,25.85,0.019645576061656383
Morrisania/Melrose,7027,70.71686779564537,23.5,0.004604476318851283
Kew Gardens,7015,17.119469707769067,30.79,0.044003604845378186
Parkchester,6995,25.03487634024303,30.52,0.0035906294423791256
Elmhurst/Maspeth,6988,40.54501717229537,25.01,0.031711332199005106
Gowanus,6962,48.22237862683137,24.5,0.025287542774629527
Mount Hope,6885,20.636204793028327,22.5,0.003926491102568719
Springfield Gardens South,6785,41.8567324981577,47.32,0.05392457035933391
East Tremont,6637,6.953561850233539,25.5,0.001671233615928589
Borough Park,6614,25.129832174175988,21.5,0.002098691924500959
Queens Village,6409,9.025668591043845,29.34,0.00699104792651946
Midwood,6392,17.24664737171464,22.5,0.0030848321929037447
Marine Park/Mill Basin,6329,45.82499762995734,23.5,0.0019365448121932479
Starrett City,6269,7.415069389057265,28.5,0.0007456285256527148
Springfield Gardens North,6209,8.99278949911419,32.5,0.002693444694565181
Bedford Park,6021,112.9479239329015,25.47,0.002607928504856053
Highbridge,6021,38.00729779106461,26.5,0.014613698229168868
Kensington,5975,46.01643012552301,25.83,0.0060953685466660695
Outside of NYC,5940,6.930419191919192,70.0,1.3160477043649388
Sheepshead Bay,5922,7.570797028031071,25.5,0.002440029732779413
Far Rockaway,5450,13.151689908256882,45.5,0.001118381331269005
Soundview/Bruckner,5292,51.239671201814055,25.314999999999998,0.0018557342493678577
Hammels/Arverne,5286,29.1544665153235,43.105000000000004,0.0008001470054883325
Bensonhurst West,5057,9.850648605892822,21.49,0.0030362398496935053
Claremont/Bathgate,5023,50.92704559028469,24.89,0.0015127923087447385
Middle Village,4937,5.508598339072312,22.94,0.018375292554715598
Van Cortlandt Village,4913,27.14378994504376,28.26,0.0022158929258318345
West Farms/Bronx River,4876,51.98166119770303,25.485,0.002327941979321027
Brooklyn Navy Yard,4804,5.394148626144879,26.244999999999997,0.03358370058129147
Westchester Village/Unionport,4792,11.46213898163606,27.5,0.004761006876608054
Sunset Park East,4693,10.709791178350736,26.38,0.0035756850695979198
Spuyten Duyvil/Kingsbridge,4672,31.537675513698627,28.2,0.010620020388570066
Homecrest,4657,5.690429461026413,21.5,0.0022978197041571167
Hunts Point,4610,60.601819956616055,24.5,0.0019394854609674056
Van Nest/Morris Park,4599,32.66937812567949,26.76,0.004306272706917851
North Corona,4571,5.735348938963027,22.31,0.008536204378575265
Norwood,4539,12.42271205111258,28.16,0.002144090903024287
South Williamsburg,4539,36.56708085481384,24.48,0.017078913857865592
Hillcrest/Pomonok,4483,24.036395271023867,27.75,0.010362034294392131
Eastchester,4448,18.63425584532374,32.095,0.00111497207323451
Jamaica Estates,4434,16.589821831303563,25.465,0.004586722906378931
Woodlawn/Wakefield,4333,9.552734825755827,33.31,0.005974534762009627
Glendale,4261,30.437211922084018,21.1,0.0060118746474109724
Schuylerville/Edgewater Park,4232,63.92529536862005,29.32,0.004187409315879788
Crotona Park East,4019,6.942112465787509,24.79,0.0011312899196340843
Kingsbridge Heights,3943,50.77838447882323,26.46,0.0029919552482453988
Brighton Beach,3842,8.25505726184279,29.5,0.0014197694307826352
Longwood,3734,117.11621853240491,23.865000000000002,0.0022737448763131937
Bronxdale,3689,8.310458118731363,30.52,0.001444950599473832
Ozone Park,3594,6.062840845854201,24.1,0.012679792679400614
Roosevelt Island,3525,6.258811347517731,28.94,0.02770712026782403
Windsor Terrace,3511,6.932597550555397,28.0,0.014510751293882471
Bensonhurst East,3496,36.07059210526316,22.5,0.002011778531313511
Madison,3482,5.696197587593337,21.5,0.0034812418244030527
Howard Beach,3431,38.751605945788405,27.5,0.016968446414423657
Kew Gardens Hills,3414,13.018198594024604,26.79,0.007632611794903067
Laurelton,3411,72.42524479624744,37.5,0.0016663250575133573
Belmont,3246,12.905982747997536,24.5,0.006961131919370588
Pelham Parkway,3161,14.10109142676368,29.74,0.0022301457348220454
Hollis,3106,7.820318737926594,25.5,0.004725472089700817
Gravesend,3090,8.385877022653721,30.5,0.00156549509561597
Rosedale,3013,11.077875871224693,39.5,0.011839201292967855
Fordham South,2946,43.56791581805839,23.5,0.001041897329103625
Riverdale/North Riverdale/Fieldston,2814,9.182871357498223,32.644999999999996,0.013590608378179886
Allerton/Pelham Gardens,2777,43.27608570399712,29.27,0.0010732752780513212
Dyker Heights,2686,62.636005212211465,23.634999999999998,0.0038240934582838746
Cambria Heights,2660,11.132575187969925,43.39,0.007444218776576749
Bellerose,2654,25.52119442351168,29.965,0.07079933134642287
Columbia Street,2481,5.784586860137042,24.81,0.032930251739409354
Prospect Park,2274,5.106389621811785,23.86,0.039213902973539154
Manhattan Beach,2230,7.918,26.795,0.003334708702480211
College Point,2216,7.419241877256318,28.56,0.022014879018008297
Murray Hill-Queens,2137,7.25839026672906,25.49,0.004397648656615545
Bayside,1974,7.964285714285714,26.83,0.007461740820886502
Bath Beach,1915,7.332600522193212,22.5,0.006412260563367238
Whitestone,1848,7.840054112554113,26.5,0.008055052847535571
Queensboro Hill,1828,6.699704595185995,23.92,0.010709779116700506
Rockaway Park,1717,11.647751892836341,39.5,0.003691195367920438
Pelham Bay,1643,8.782744978697504,31.5,0.0012498417671765536
Glen Oaks,1606,10.451637608966378,32.78,0.042224388974752815
Fresh Meadows,1582,78.86021491782554,27.325,0.021373482683880493
Ocean Parkway South,1578,218.71119138149558,20.5,0.003119788102383156
Oakland Gardens,1322,8.620226928895613,27.65,0.003976426523010398
Randalls Island,1263,6.435043547110055,36.05,0.12830672627388715
Marble Hill,1254,6.85951355661882,24.799999999999997,0.005970705208873422
Saint Michaels Cemetery/Woodside,1222,5.807872340425532,63.72,0.12522310433439493
Auburndale,1093,7.250430009149131,25.1,0.022878213777131114
East Flushing,1057,24.893623462630085,23.5,0.003733367792891437
